,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Luka Doncic 2019-20,2019-20,Luka Doncic,Luka Doncic,"$30,492,711","$38,176,071","$7,683,360",67,U,DAL
LeBron James 2008-09,2008-09,LeBron James,LeBron James,"$29,953,426","$44,364,007","$14,410,581",95,U,CLE
Chris Paul 2008-09,2008-09,Chris Paul,Chris Paul,"$28,377,337","$32,951,526","$4,574,189",83,U,NOP
Luka Doncic 2020-21,2020-21,Luka Doncic,Luka Doncic,"$27,833,105","$35,882,465","$8,049,360",73,U,DAL
Chris Paul 2007-08,2007-08,Chris Paul,Chris Paul,"$27,481,296","$31,097,256","$3,615,960",92,U,NOP
LeBron James 2009-10,2009-10,LeBron James,LeBron James,"$27,195,226","$42,975,138","$15,779,912",87,U,CLE
Luka Doncic 2021-22,2021-22,Luka Doncic,Luka Doncic,"$26,926,448","$37,100,839","$10,174,391",80,U,DAL
Stephen Curry 2015-16,2015-16,Stephen Curry,Stephen Curry,"$25,435,979","$36,806,765","$11,370,786",97,U,GSW
LeBron James 2005-06,2005-06,LeBron James,LeBron James,"$24,783,651","$29,405,451","$4,621,800",92,U,CLE
Trae Young 2020-21,2020-21,Trae Young,Trae Young,"$24,420,708","$30,992,508","$6,571,800",79,U,ATL
Giannis Antetokounmpo 2016-17,2016-17,Giannis Antetokounmpo,Giannis Antetokounmpo,"$24,258,836","$27,254,256","$2,995,420",86,U,MIL
Dwyane Wade 2005-06,2005-06,Dwyane Wade,Dwyane Wade,"$24,011,803","$27,043,723","$3,031,920",98,U,MIA
Donovan Mitchell 2020-21,2020-21,Donovan Mitchell,Donovan Mitchell,"$23,959,003","$29,154,504","$5,195,501",63,U,UTA
Trae Young 2021-22,2021-22,Trae Young,Trae Young,"$23,179,257","$31,505,728","$8,326,471",83,U,ATL
Isaiah Thomas 2016-17,2016-17,Isaiah Thomas,Isaiah Thomas,"$22,461,879","$29,049,010","$6,587,131",91,U,BOS
Kevin Durant 2009-10,2009-10,Kevin Durant,Kevin Durant,"$22,089,778","$26,886,658","$4,796,880",88,U,OKC
LeBron James 2011-12,2011-12,LeBron James,LeBron James,"$21,566,912","$37,589,412","$16,022,500",85,U,MIA
Trae Young 2019-20,2019-20,Trae Young,Trae Young,"$21,422,149","$27,695,149","$6,273,000",60,U,ATL
Anthony Davis 2014-15,2014-15,Anthony Davis,Anthony Davis,"$21,317,598","$26,924,838","$5,607,240",72,U,NOP
Nikola Jokic 2017-18,2017-18,Nikola Jokic,Nikola Jokic,"$21,143,591","$22,614,973","$1,471,382",75,U,DEN
LeBron James 2012-13,2012-13,LeBron James,LeBron James,"$20,746,757","$38,291,757","$17,545,000",99,U,MIA
Stephen Curry 2016-17,2016-17,Stephen Curry,Stephen Curry,"$20,515,013","$32,627,372","$12,112,359",96,U,GSW
LeBron James 2004-05,2004-05,LeBron James,LeBron James,"$20,321,033","$24,641,393","$4,320,360",80,U,CLE
Ja Morant 2021-22,2021-22,Ja Morant,Ja Morant,"$20,049,056","$29,652,416","$9,603,360",66,U,MEM
Domantas Sabonis 2019-20,2019-20,Domantas Sabonis,Domantas Sabonis,"$19,998,914","$23,528,468","$3,529,554",62,U,IND
Dwyane Wade 2006-07,2006-07,Dwyane Wade,Dwyane Wade,"$19,997,380","$23,838,823","$3,841,443",55,U,MIA
Shai Gilgeous-Alexander 2020-21,2020-21,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,"$19,740,039","$23,881,359","$4,141,320",35,U,OKC
Donovan Mitchell 2019-20,2019-20,Donovan Mitchell,Donovan Mitchell,"$19,690,073","$23,325,833","$3,635,760",76,U,UTA
Brandon Roy 2008-09,2008-09,Brandon Roy,Brandon Roy,"$19,618,540","$22,702,780","$3,084,240",84,U,POR
Pascal Siakam 2019-20,2019-20,Pascal Siakam,Pascal Siakam,"$19,458,081","$21,809,919","$2,351,838",71,U,TOR
LeBron James 2007-08,2007-08,LeBron James,LeBron James,"$19,317,184","$32,358,434","$13,041,250",88,U,CLE
Derrick Rose 2010-11,2010-11,Derrick Rose,Derrick Rose,"$19,262,047","$24,808,207","$5,546,160",97,U,CHI
Zion Williamson 2020-21,2020-21,Zion Williamson,Zion Williamson,"$19,141,070","$29,386,550","$10,245,480",61,U,NOP
Amar'e Stoudemire 2004-05,2004-05,Amar'e Stoudemire,Amare Stoudemire,"$18,934,277","$20,966,477","$2,032,200",95,U,PHX
Jayson Tatum 2019-20,2019-20,Jayson Tatum,Jayson Tatum,"$18,627,082","$26,457,082","$7,830,000",83,U,BOS
Bam Adebayo 2019-20,2019-20,Bam Adebayo,Bam Adebayo,"$18,596,215","$22,050,295","$3,454,080",91,U,MIA
Giannis Antetokounmpo 2019-20,2019-20,Giannis Antetokounmpo,Giannis Antetokounmpo,"$18,521,651","$44,364,348","$25,842,697",72,U,MIL
Karl-Anthony Towns 2016-17,2016-17,Karl-Anthony Towns,Karl-Anthony Towns,"$18,108,651","$24,068,811","$5,960,160",82,U,MIN
Dwyane Wade 2004-05,2004-05,Dwyane Wade,Dwyane Wade,"$18,064,199","$20,898,359","$2,834,160",91,U,MIA
Karl-Anthony Towns 2017-18,2017-18,Karl-Anthony Towns,Karl-Anthony Towns,"$17,987,028","$24,203,868","$6,216,840",87,U,MIN
Bam Adebayo 2020-21,2020-21,Bam Adebayo,Bam Adebayo,"$17,827,364","$22,942,856","$5,115,492",68,U,MIA
Stephen Curry 2014-15,2014-15,Stephen Curry,Stephen Curry,"$17,627,805","$28,257,018","$10,629,213",101,U,GSW
Dwyane Wade 2008-09,2008-09,Dwyane Wade,Dwyane Wade,"$17,578,898","$31,989,479","$14,410,581",86,U,MIA
LeBron James 2006-07,2006-07,LeBron James,LeBron James,"$17,400,533","$23,228,623","$5,828,090",98,U,CLE
Kevin Love 2011-12,2011-12,Kevin Love,Kevin Love,"$17,332,618","$21,942,319","$4,609,701",55,U,MIN
Jamal Murray 2019-20,2019-20,Jamal Murray,Jamal Murray,"$17,235,597","$21,680,343","$4,444,746",78,U,DEN
James Harden 2018-19,2018-19,James Harden,James Harden,"$17,049,161","$47,619,161","$30,570,000",89,U,HOU
John Collins 2019-20,2019-20,John Collins,John Collins,"$16,953,938","$19,640,498","$2,686,560",41,U,ATL
Kevin Durant 2010-11,2010-11,Kevin Durant,Kevin Durant,"$16,930,715","$22,984,378","$6,053,663",95,U,OKC
Jayson Tatum 2020-21,2020-21,Jayson Tatum,Jayson Tatum,"$16,907,302","$26,804,422","$9,897,120",70,U,BOS
Nikola Jokic 2016-17,2016-17,Nikola Jokic,Nikola Jokic,"$16,665,035","$18,023,535","$1,358,500",73,U,DEN
Karl-Anthony Towns 2018-19,2018-19,Karl-Anthony Towns,Karl-Anthony Towns,"$16,584,115","$24,423,550","$7,839,435",77,U,MIN
Derrick Rose 2011-12,2011-12,Derrick Rose,Derrick Rose,"$16,581,617","$23,575,325","$6,993,708",40,U,CHI
Jimmy Butler 2014-15,2014-15,Jimmy Butler,Jimmy Butler,"$16,476,138","$18,595,352","$2,119,214",77,U,CHI
Giannis Antetokounmpo 2018-19,2018-19,Giannis Antetokounmpo,Giannis Antetokounmpo,"$16,371,097","$40,528,401","$24,157,304",87,U,MIL
Vince Carter 2000-01,2000-01,Vince Carter,Vince Carter,"$16,247,952","$18,673,392","$2,425,440",87,U,TOR
Nikola Jokic 2020-21,2020-21,Nikola Jokic,Nikola Jokic,"$15,960,105","$45,502,115","$29,542,010",82,U,DEN
Ben Simmons 2019-20,2019-20,Ben Simmons,Ben Simmons,"$15,839,412","$23,953,341","$8,113,929",57,U,PHI
James Harden 2012-13,2012-13,James Harden,James Harden,"$15,547,681","$21,368,097","$5,820,416",84,U,HOU
Rudy Gobert 2016-17,2016-17,Rudy Gobert,Rudy Gobert,"$15,500,954","$17,622,241","$2,121,287",90,U,UTA
LeBron James 2010-11,2010-11,LeBron James,LeBron James,"$15,440,894","$29,940,894","$14,500,000",100,U,MIA
Kawhi Leonard 2016-17,2016-17,Kawhi Leonard,Kawhi Leonard,"$15,331,795","$32,969,858","$17,638,063",86,U,SAS
Pascal Siakam 2018-19,2018-19,Pascal Siakam,Pascal Siakam,"$15,203,992","$16,748,943","$1,544,951",104,U,TOR
